dishwasher,disposal,kitchen,kitchen_2,light,microwave,refrigerator,stove,washer_dryer
0.1875,0.0,0.5,3.3125,8.0,4.0625,6.375,1.0,4.125
0.1875,0.0,0.375,3.3125,8.0,4.0,6.5625,1.0,4.1875
0.1875,0.0,0.5625,3.375,8.0,4.0,6.4375,0.875,4.1875
0.06666666666666667,0.0,0.4666666666666667,3.4,8.0,4.066666666666666,6.6,0.8666666666666667,4.133333333333334
0.0625,0.0,0.4375,3.375,8.0,4.1875,6.375,0.9375,4.125
0.0,0.0,0.375,3.3125,8.0,4.0,6.3125,0.875,4.1875
0.0625,0.0,0.375,3.25,8.0,4.125,6.5625,0.875,4.0625
0.0625,0.0,0.4375,3.1875,8.0,4.0625,6.625,1.0,4.25
0.0,0.0,0.5,3.125,8.0,4.1875,6.8125,0.9375,4.25
0.0625,0.0,0.25,3.375,8.0,4.0625,6.375,0.875,4.3125
0.1875,0.0,0.5,3.4375,8.0,4.25,6.3125,1.0,4.25
0.0625,0.0,0.375,3.25,8.0,4.375,6.375,0.9375,4.4375
0.125,0.0,0.25,3.375,8.0,4.0625,6.5625,0.875,4.3125
0.13333333333333333,0.0,0.2,3.2,8.0,4.0,6.8,0.9333333333333333,4.133333333333334
0.125,0.0,0.25,3.1875,8.0,4.25,6.5625,1.0,4.125
0.0625,0.0,0.1875,3.5,8.4375,4.5,96.0625,0.5,4.375
0.125,0.0,0.0,3.625,9.0,5.0,178.125,0.125,4.0
0.0625,0.0,0.0,3.625,9.0,4.9375,170.125,0.125,4.4375
0.125,0.0,0.0,3.625,9.0,5.0,168.1875,0.125,4.125
0.0625,0.0,0.0,3.6875,8.875,4.9375,167.3125,0.0,4.5
0.0,0.0,0.0,3.75,9.0,4.9375,166.625,0.0,4.4375
0.0,0.0,0.0,3.6875,8.8125,4.875,165.375,0.0625,4.375
0.15384615384615385,0.0,0.0,3.5384615384615383,8.923076923076923,5.0,164.07692307692307,0.15384615384615385,4.076923076923077
0.0625,0.0,0.0,3.5,8.75,5.0,162.875,0.0625,4.1875
0.0,0.0,0.0,3.2666666666666666,8.8,4.933333333333334,162.26666666666668,0.0,4.133333333333334
0.125,0.0,0.0,3.6875,8.9375,4.9375,161.8125,0.0625,4.3125
0.0,0.0,0.0,3.5,8.875,4.8125,161.125,0.1875,4.0625
0.0625,0.0,0.0,3.5625,8.75,5.0,160.8125,0.1875,4.3125
0.0625,0.0,0.0,3.625,8.875,5.0,160.25,0.1875,4.25
0.0,0.0,0.0,3.4375,8.875,4.875,159.875,0.1875,4.3125
0.125,0.0,0.0,3.75,8.9375,4.9375,159.4375,0.125,4.0625
0.13333333333333333,0.0,0.0,3.6,8.6,4.933333333333334,159.13333333333333,0.3333333333333333,4.133333333333334
0.0625,0.0,0.0,3.75,8.9375,4.8125,158.9375,0.3125,4.0625
0.0,0.0,0.0,3.75,8.8125,4.875,158.1875,0.375,4.0625
0.0,0.0,0.0,3.625,8.875,4.9375,157.8125,0.3125,4.4375
0.0625,0.0,0.125,3.1875,8.125,4.3125,34.75,0.625,4.4375
0.0,0.0,0.375,3.1875,8.0,4.3125,6.5625,0.9375,4.375
0.11764705882352941,0.0,0.47058823529411764,3.176470588235294,8.0,4.0588235294117645,6.588235294117647,0.8235294117647058,4.176470588235294
0.0625,0.0,0.4375,3.3125,8.0,4.0625,6.625,0.8125,4.125
0.25,0.0,0.5625,3.25,8.0,4.125,6.375,0.6875,4.125
0.125,0.0,0.625,3.1875,8.0,4.125,6.6875,1.0,4.125
0.125,0.0,0.5,3.25,8.0,4.1875,6.3125,0.9375,4.0
0.125,0.0,0.3125,3.1875,8.0,4.25,6.4375,0.9375,4.0
0.0625,0.0,0.3125,3.125,8.0,4.0625,6.625,0.9375,4.0
0.125,0.0,0.25,3.375,8.0,4.125,6.5625,0.9375,4.0
0.0625,0.0,0.25,3.25,8.0,4.25,6.5625,0.9375,4.0625
0.1875,0.0,0.1875,3.25,8.0,4.0625,6.6875,1.0,4.1875
0.0,0.0,0.0625,3.125,8.0,4.25,6.625,0.9375,4.0625
0.1875,0.0,0.5,3.3125,8.0,4.125,6.125,0.9375,4.1875
0.0625,0.0,0.3125,3.25,8.0,4.125,6.5625,0.75,4.1875
0.0625,0.0,0.3125,3.25,8.0,4.125,6.5,0.9375,4.125
0.125,0.0,0.4375,3.375,8.0,4.25,6.5625,0.875,4.25
0.0,0.0,0.4375,3.25,8.0,4.25,6.5625,1.0,4.25
0.125,0.0,0.5625,3.1875,8.0,4.5,6.25,1.0,4.3125
0.125,0.0,0.4375,3.4375,8.0,4.25,6.1875,1.0,4.3125
0.125,0.0,0.25,3.0,8.0,4.125,6.5,0.875,4.0
0.0,0.0,0.375,3.375,8.0,4.375,6.3125,0.9375,4.0
0.0,0.0,0.5,3.375,8.0,4.0625,6.875,1.0,4.0625
0.0,0.0,0.4375,3.1875,8.0,4.125,6.6875,0.9375,4.0
0.0625,0.0,0.5,3.125,8.0,4.125,6.5,1.0,4.0
0.1875,0.0,0.5,3.125,8.0,4.0625,6.75,0.9375,4.0
0.0,0.0,0.4375,3.5625,8.0,4.125,6.5625,1.0,4.125
0.0625,0.0,0.4375,3.5,8.0,4.125,6.5,0.8125,4.125
0.0,0.0,0.3125,3.375,8.0,4.0,6.6875,1.0,4.1875
0.0625,0.0,0.1875,3.375,8.0,4.25,6.25,0.9375,4.3125
0.0,0.0,0.3125,3.3125,8.0,4.1875,6.375,0.875,4.1875
0.0625,0.0,0.3125,3.375,7.9375,4.3125,6.5,0.9375,4.0625
0.0,0.0,0.0625,3.5,8.6875,4.75,128.875,0.5,4.0625
0.0625,0.0,0.0,3.4375,8.875,5.0,174.625,0.375,4.4375
0.0,0.0,0.0,3.75,8.9375,5.0,167.6875,0.125,4.25
0.125,0.0,0.0,3.75,8.875,4.9375,165.3125,0.125,4.0625
0.0,0.0,0.0,3.75,8.9375,4.9375,163.75,0.1875,4.0
0.0625,0.0,0.0,3.625,9.0,4.9375,163.0,0.0625,4.0625
0.0,0.0,0.0,3.625,9.0,5.0,162.625,0.375,4.0
0.0625,0.0,0.0,3.625,8.875,5.0,162.1875,0.3125,4.125
0.1875,0.0,0.0,3.875,8.9375,5.0,161.5625,0.0625,4.0
0.0625,0.0,0.0,3.5625,8.9375,5.0,160.8125,0.3125,4.125
0.125,0.0,0.0,3.625,8.9375,4.875,160.625,0.375,4.0625
0.0625,0.0,0.0,3.6875,8.75,5.0,159.1875,0.125,4.1875
0.125,0.0,0.0,3.625,8.8125,5.0,158.9375,0.125,4.0625
0.0,0.0,0.0,3.6875,8.9375,5.0,158.5625,0.25,4.25
0.0,0.0,0.0,3.6875,8.875,5.0,158.0,0.3125,4.3125
0.1111111111111111,0.0,0.0,3.4444444444444446,8.88888888888889,4.888888888888889,158.11111111111111,0.1111111111111111,4.111111111111111
0.0,0.0,0.0,3.375,8.9375,4.9375,157.5625,0.3125,4.625
0.0,0.0,0.0,3.625,8.875,5.0,156.6875,0.125,4.0
0.1875,0.0,0.0,3.625,8.875,5.0,156.25,0.0625,4.375
0.0625,0.0,0.125,3.4375,8.5,4.6875,99.8125,0.4375,4.25
0.125,0.0,0.5,3.3125,8.0,4.125,6.6875,0.875,4.375
0.0,0.0,0.5625,3.25,8.0,4.125,6.6875,0.9375,4.3125
0.0,0.0,0.3125,3.625,8.0,4.0625,6.5625,0.8125,4.125
0.125,0.0,0.4375,3.1875,8.0,4.1875,6.5625,1.0,4.0625
0.0,0.0,0.4375,3.4375,8.0,4.125,6.4375,1.0,4.125
0.0625,0.0,0.625,3.1875,8.0,4.125,6.375,1.0,4.125
0.0,0.0,0.25,3.3125,8.0,4.1875,6.75,1.0,4.5
0.0,0.0,0.4375,3.25,8.0,4.3125,6.625,0.9375,4.0625
0.0,0.0,0.1875,3.375,7.9375,4.1875,6.625,0.875,4.4375
0.0,0.0,0.1875,3.375,8.0,4.1875,6.6875,1.0,4.25
0.125,0.0,0.25,3.4375,8.0,4.125,6.625,0.9375,4.375
0.0625,0.0,0.3125,3.3125,8.0,4.375,6.5625,1.0,4.1875
0.0,0.0,0.25,3.25,8.0,4.0,6.375,0.9375,4.0625
0.125,0.0,0.4375,3.1875,8.0,4.0625,6.6875,0.9375,4.0
0.0625,0.0,0.6875,3.5,8.0,4.3125,6.5,1.0,4.0
0.125,0.0,0.5,3.375,8.0,4.0625,6.5,0.875,4.0
0.0,0.0,0.5625,3.0625,8.0,4.25,6.75,0.9375,4.0
0.0,0.0,0.3125,3.25,8.0,4.125,6.75,1.0,4.375
0.0625,0.0,0.3125,3.25,8.0,4.0,6.875,0.875,4.5625
0.0625,0.0,0.25,3.375,8.0,4.125,6.8125,0.9375,4.25
0.1875,0.0,0.4375,3.1875,8.0,4.125,6.4375,0.9375,4.0625
0.0625,0.0,0.3125,3.3125,8.0,4.0,6.5,0.875,4.25
0.125,0.0,0.4375,3.25,8.0,4.1875,6.125,0.6875,4.0625
0.0625,0.0,0.4375,3.3125,8.0,4.1875,6.4375,0.875,4.125
0.0,0.0,0.4666666666666667,3.3333333333333335,8.0,4.066666666666666,6.4,0.8666666666666667,4.0
0.17647058823529413,0.0,0.4117647058823529,3.1176470588235294,8.0,4.176470588235294,6.588235294117647,0.9411764705882353,4.0
0.0,0.0,0.4666666666666667,3.2,8.0,4.066666666666666,6.666666666666667,0.9333333333333333,4.0
0.0,0.0,0.375,3.3125,8.0,4.125,6.6875,0.875,4.0
0.0625,0.0,0.5,3.0625,8.0,4.0,6.375,0.9375,4.0
0.0,0.0,0.375,3.0625,8.0,4.0,6.4375,0.875,4.0
0.0,0.0,0.4375,3.4375,8.0,4.1875,6.375,0.9375,4.0
0.0625,0.0,0.5625,3.375,8.0,4.3125,6.375,1.0,4.0625
0.0625,0.0,0.0,3.6875,8.6875,4.875,150.6875,0.125,4.0
0.125,0.0,0.0,3.5625,8.8125,4.875,173.875,0.0,4.0
0.125,0.0,0.0,3.5625,8.8125,5.0,170.625,0.0625,4.0625
0.0,0.0,0.0,3.625,8.8125,5.0,169.8125,0.1875,4.0625
0.0625,0.0,0.0,3.8125,8.875,5.0,168.5,0.25,4.0625
0.0625,0.0,0.0,3.6875,8.8125,5.0,167.25,0.4375,4.125
0.0625,0.0,0.0,3.6875,8.8125,4.9375,166.875,0.0625,4.0625
0.0,0.0,0.0,3.6875,8.9375,5.0,165.4375,0.5,4.1875
0.0625,0.0,0.0,3.8125,8.8125,5.0,164.1875,0.125,4.0
0.1875,0.0,0.0,3.625,8.875,4.9375,163.5,0.25,4.0
0.0625,0.0,0.0,3.5625,8.875,5.0,162.875,0.0625,4.0
0.0,0.0,0.0,3.375,8.75,4.9375,161.4375,0.0,4.0
0.0,0.0,0.0,3.4375,8.875,5.0,161.1875,0.125,4.0
0.125,0.0,0.0,3.4375,8.875,4.9375,160.3125,0.0,4.0
0.1875,0.0,0.0,3.6875,8.875,5.0,160.25,0.3125,4.0
0.1875,0.0,0.0,3.75,8.8125,4.9375,159.4375,0.125,4.0
0.0625,0.0,0.0,3.6875,8.8125,4.9375,159.3125,0.1875,4.0
0.0,0.0,0.0,3.625,8.8125,5.0,158.4375,0.3125,4.0
0.125,0.0,0.0,3.4375,8.875,4.875,158.5,0.125,4.0
0.1875,0.0,0.25,3.25,8.25,4.375,63.375,0.5625,4.0
0.0,0.0,0.4375,3.375,8.0,4.25,6.4375,0.8125,4.0625
0.125,0.0,0.625,3.0625,8.0,4.25,6.625,0.875,4.0
0.0625,0.0,0.5,3.25,8.0,4.3125,6.5625,0.9375,4.0
0.125,0.0,0.25,3.0625,8.0,4.0,6.4375,0.8125,3.875
0.125,0.0,0.625,3.1875,8.0,4.375,6.3125,1.0,4.0
0.0625,0.0,0.4375,3.3125,8.0,4.125,6.5,0.9375,3.875
0.0,0.0,0.3333333333333333,3.2666666666666666,8.066666666666666,4.066666666666666,6.466666666666667,0.9333333333333333,4.0
0.125,0.0,0.5,3.25,8.0,4.125,6.5625,0.875,4.0
0.1875,0.0,0.4375,3.125,8.0,4.4375,6.375,0.8125,4.0
0.0,0.0,0.375,3.125,8.0,4.0625,6.25,0.9375,4.0
0.125,0.0,0.4375,3.3125,8.0,4.3125,6.25,0.9375,4.0
0.0,0.0,0.375,3.1875,8.0,4.1875,6.5625,0.9375,4.0
0.1875,0.0,0.625,3.1875,8.0,4.125,6.25,1.0,4.0
0.125,0.0,0.375,3.1875,8.0,4.1875,6.125,0.875,4.0
0.125,0.0,0.3125,3.0625,8.0,4.125,6.4375,0.9375,4.0
0.1875,0.0,0.5,3.125,7.9375,4.0,6.25,0.8125,3.9375
0.0625,0.0,0.625,3.4375,8.0,4.0625,6.25,0.875,4.0
0.0625,0.0,0.4375,3.25,8.0,4.0625,6.3125,0.9375,4.0
0.0625,0.0,0.3125,3.125,8.0,4.1875,6.4375,0.9375,4.0
0.125,0.0,0.75,3.1875,8.0,4.125,6.375,0.9375,4.0625
0.125,0.0,0.375,3.375,8.0,4.0625,6.5,1.0,4.0
0.125,0.0,0.1875,3.25,8.0,4.1875,6.375,0.9375,4.0
0.125,0.0,0.375,3.125,8.0,4.1875,6.4375,0.9375,4.0
0.125,0.0,0.25,3.0,8.0,4.0625,6.3125,0.8125,4.0
0.0625,0.0,0.5,3.3125,8.0,4.125,6.25,1.0,4.0
0.1875,0.0,0.5,3.1875,8.0,4.125,6.5625,0.9375,4.0
0.0625,0.0,0.3125,3.3125,8.0,4.0625,6.75,0.9375,4.0
0.125,0.0,0.3125,3.4375,8.0,4.125,6.625,0.875,4.0
0.0,0.0,0.375,3.4375,8.0,4.1875,6.75,0.9375,4.0
0.0,0.0,0.3125,3.5,8.0,4.25,6.625,0.8125,4.0
0.1875,0.0,0.5,3.5,8.0,4.375,6.5625,0.6875,4.0
0.0625,0.0,0.5,3.4375,8.0,4.1875,6.8125,0.9375,4.0
0.0,0.0,0.1875,3.6875,8.6875,4.75,138.4375,0.25,4.0
0.0625,0.0,0.0,3.8125,9.0,5.0,174.125,0.0,4.0
0.0,0.0,0.0,3.9375,9.0,4.9375,169.1875,0.0,4.0
0.125,0.0,0.0,3.75,8.9375,4.9375,168.25,0.0625,4.0625
0.0,0.0,0.0,3.75,8.9375,5.0,167.9375,0.125,4.0
0.0,0.0,0.0,3.9375,9.0,4.9375,166.1875,0.125,4.0
0.0625,0.0,0.0,3.875,8.875,5.0,164.875,0.125,4.0
0.0,0.0,0.0,3.9375,9.0,5.0,164.0625,0.0,3.9375
0.0625,0.0,0.0,3.9375,9.0,4.9375,163.6875,0.0625,4.0
0.0625,0.0,0.0,3.9375,8.9375,5.0,163.125,0.0625,4.0
0.125,0.0,0.0,3.9375,9.0,5.0,162.25,0.25,4.0
0.0,0.0,0.0,3.6875,8.875,5.0,161.5,0.0,4.0
0.0625,0.0,0.0,3.75,8.75,5.0,160.0625,0.125,4.0625
0.0,0.0,0.0,3.933333333333333,8.866666666666667,5.0,159.46666666666667,0.2,4.0
0.25,0.0,0.0,3.875,8.6875,5.0,158.8125,0.1875,4.0
0.0625,0.0,0.0,3.8125,8.8125,5.0,158.9375,0.5625,4.0
0.0625,0.0,0.0,3.875,8.875,5.0,158.625,0.3125,4.0
0.0,0.0,0.0,3.5625,8.9375,4.9375,159.0,0.5,4.0
0.0,0.0,0.25,3.75,8.75,4.75,120.0625,0.4375,4.0
0.0625,0.0,0.4375,3.3125,8.0,4.25,6.625,0.9375,4.0
0.0625,0.0,0.5,3.4375,8.0,4.125,6.3125,1.0,4.0
0.1875,0.0,0.375,3.3125,8.0,4.125,6.4375,1.0,4.0
0.1875,0.0,0.5,3.3125,8.0,4.1875,6.6875,1.0,4.0
0.125,0.0,0.5,3.1875,8.0,4.3125,6.5,1.0,4.0
0.0,0.0,0.3125,3.3125,8.0,4.1875,6.5,0.875,4.0
0.125,0.0,0.6875,3.0625,8.0,4.375,6.3125,0.9375,3.9375
0.125,0.0,0.5,3.3125,8.0,4.0,6.25,0.875,3.9375
0.0,0.0,0.5625,3.1875,8.0,4.0625,6.375,1.0,4.0
0.1875,0.0,0.5,3.1875,8.0,4.0625,6.4375,0.75,4.0
0.125,0.0,0.5,3.1875,8.0,4.1875,6.5,0.8125,3.875
0.125,0.0,0.75,3.4375,8.0,4.0625,6.3125,0.9375,3.9375
0.1875,0.0,0.625,3.4375,8.0,4.1875,6.5625,0.875,4.0
0.0625,0.0,0.5,3.4375,8.0,4.1875,6.25,0.9375,4.0
0.25,0.0,0.625,3.375,8.0,4.125,6.5625,0.9375,4.0
0.125,0.0,0.5,3.25,8.0,4.0625,6.5,1.0,4.0
0.0625,0.0,0.375,3.3125,8.0,4.1875,6.5,0.9375,4.0
0.0625,0.0,0.625,3.25,8.0,4.0625,6.375,0.9375,4.0
0.1875,0.0,0.375,3.1875,8.0,4.0,6.4375,0.9375,3.9375
0.0625,0.0,0.5625,3.375,8.0,4.0625,6.375,0.8125,4.0
0.1875,0.0,0.4375,3.3125,8.0,4.125,6.375,0.9375,3.9375
0.125,0.0,0.5625,3.125,8.0,4.0625,6.6875,1.0,3.8125
0.0625,0.0,0.5,3.375,8.0,4.0625,6.375,0.9375,3.9375
0.125,0.0,0.75,3.25,8.0,4.1875,6.1875,0.9375,4.0
0.0625,0.0,0.3125,3.3125,8.0,4.0625,6.75,0.9375,4.0
0.125,0.0,0.5,3.3125,8.0,4.0625,6.4375,0.9375,4.0
0.0,0.0,0.25,3.0625,8.0,4.0,6.4375,1.0,4.0
0.125,0.0,0.5,3.375,8.0,4.375,6.3125,0.875,4.0
0.13333333333333333,0.0,0.6,3.1333333333333333,8.0,4.133333333333334,6.6,1.0,4.0
0.1875,0.0,0.5625,3.0625,8.0,4.375,6.25,0.9375,4.0
0.125,0.0,0.5,3.1875,8.0,4.3125,6.25,1.0,4.0
0.125,0.0,0.5,3.3125,8.0,4.0625,6.375,0.875,4.0
0.0625,0.0,0.5625,3.1875,8.0,4.1875,6.375,0.8125,4.0
0.0,0.0,0.0,3.625,8.75,4.8125,170.625,0.25,4.0
0.0,0.0,0.0,3.625,8.9375,4.8125,173.0,0.1875,4.0
0.0625,0.0,0.0,3.625,8.8125,5.0,169.0,0.3125,4.0
0.0625,0.0,0.0,3.4375,8.75,4.9375,168.25,0.1875,4.0
0.1875,0.0,0.0,3.5625,8.9375,4.9375,166.8125,0.25,4.0
0.0,0.0,0.0,3.75,8.8125,5.0,166.125,0.0,3.8125
0.0625,0.0,0.0,3.4375,8.875,4.8125,165.3125,0.0,4.0
0.25,0.0,0.0,3.3125,8.8125,5.0,164.1875,0.0,4.0
0.0,0.0,0.0,3.5625,8.6875,5.0,163.5,0.0,4.0
0.0,0.0,0.0,3.6875,8.875,5.0,163.0,0.0,3.9375
0.0,0.0,0.0,3.6875,8.6875,4.875,162.0,0.0,3.875
0.1875,0.0,0.0,3.625,8.625,4.9375,161.1875,0.0625,3.9375
0.0625,0.0,0.0,3.625,8.6875,4.875,159.5,0.0,3.4375
0.1875,0.0,0.0,3.5625,8.6875,5.0,159.0625,0.25,3.5
0.0,0.0,0.0,3.5,8.625,5.0,157.9375,0.1875,3.25
0.0625,0.0,0.0,3.5625,8.75,5.0,157.5,0.1875,3.375
0.0,0.0,0.0,3.75,8.75,4.875,157.5,0.125,3.625
0.0,0.0,0.0,3.625,8.75,4.875,157.0,0.25,3.8125
0.125,0.0,0.375,3.375,8.0625,4.1875,25.375,0.875,4.0
0.125,0.0,0.375,3.25,8.0,4.0625,6.5,0.875,4.0
0.125,0.0,0.4375,3.25,8.0,4.125,6.375,1.0,3.9375
0.0,0.0,0.375,3.25,8.0,4.125,6.5,0.9375,4.0
0.125,0.0,0.5625,3.4375,8.0,4.125,6.3125,0.9375,4.0
0.1875,0.0,0.5625,3.3125,8.0,4.1875,6.3125,1.0,3.9375
0.2,0.0,0.6666666666666666,3.2,8.0,4.066666666666666,6.4,0.9333333333333333,4.0
0.125,0.0,0.5,3.5,8.0,4.0,6.4375,1.0,3.9375
0.125,0.0,0.5,3.3125,8.0,4.1875,6.25,0.75,3.9375
0.0625,0.0,0.625,3.125,8.0,4.0625,6.5625,0.9375,3.875
0.0,0.0,0.3125,3.1875,8.0,4.125,6.4375,1.0,3.875
0.125,0.0,0.625,3.375,8.0,4.25,6.3125,0.75,3.875
0.3125,0.0,0.625,3.125,8.0,4.0625,6.25,0.9375,3.75
0.125,0.0,0.5625,3.25,8.0,4.1875,6.6875,1.0,4.0
0.125,0.0,0.625,3.25,8.0,4.0625,6.5625,0.875,3.875
0.1875,0.0,0.5,3.0625,8.0,4.125,6.5,1.0,3.875
0.125,0.0,0.375,3.0625,8.0,4.1875,6.4375,0.9375,3.9375
0.1875,0.0,0.5625,3.125,8.0,4.125,6.4375,0.9375,3.875
0.1875,0.0,0.4375,3.1875,8.0,4.125,6.5,0.875,4.0
0.125,0.0,0.5625,3.375,8.0,4.1875,6.25,0.875,3.6875
0.1875,0.0,0.75,3.3125,8.0,4.0,6.25,0.8125,3.75
0.1875,0.0,0.3125,3.375,8.0,4.0625,6.4375,0.875,3.6875
0.125,0.0,0.5625,3.3125,8.0,4.0,6.3125,0.9375,3.8125
0.0625,0.0,0.5625,3.125,8.0,4.0625,6.5,1.0,3.8125
0.125,0.0,0.4375,3.125,8.0,4.0625,6.5,0.75,3.4375
0.125,0.0,0.5,3.125,8.0,4.0625,6.125,1.0,3.8125
0.0625,0.0,0.5,3.1875,8.0,4.0625,6.1875,1.0,3.75
0.0625,0.0,0.4375,3.4375,8.0,4.125,6.3125,1.0,3.375
0.0625,0.0,0.625,3.3125,8.0,4.125,6.3125,0.9375,3.625
0.125,0.0,0.5625,3.3125,8.0,4.125,6.1875,1.0,3.6875
0.0625,0.0,0.3125,3.3125,8.0,4.125,6.4375,0.9375,3.75
0.0625,0.0,0.625,3.375,8.0,4.1875,6.1875,1.0,3.6875
0.0625,0.0,0.5,3.3125,8.0,4.0,6.4375,0.875,3.75
0.06666666666666667,0.0,0.5333333333333333,3.2,8.0,4.2,6.266666666666667,0.9333333333333333,3.8666666666666667
0.0625,0.0,0.0625,3.625,8.75,4.875,162.3125,0.125,3.875
0.0,0.0,0.0,3.5625,9.0,4.9375,171.3125,0.25,3.75
0.125,0.0,0.0,3.6875,8.9375,4.9375,166.3125,0.1875,3.625
0.125,0.0,0.0,3.75,8.75,4.9375,163.8125,0.1875,3.8125
0.125,0.0,0.0,3.625,8.75,4.8125,162.9375,0.0625,3.875
0.0625,0.0,0.0,3.4375,8.8125,4.9375,162.8125,0.0625,3.4375
0.0,0.0,0.0,3.2666666666666666,8.666666666666666,4.8,161.86666666666667,0.0,3.466666666666667
0.0,0.0,0.0,3.375,8.8125,5.0,161.25,0.125,3.3125
0.0,0.0,0.0,3.1875,8.75,4.9375,159.8125,0.0,3.25
0.0625,0.0,0.0,3.625,8.625,4.75,159.6875,0.25,3.5
0.0,0.0,0.0,3.375,8.75,5.0,158.125,0.0,3.25
0.0,0.0,0.0,3.3125,8.5625,5.0,158.5625,0.125,3.25
0.125,0.0,0.0,3.375,8.75,4.9375,161.8125,0.0625,3.1875
0.0,0.0,0.0,3.5625,8.75,5.0,159.625,0.0625,3.125
0.0,0.0,0.0,3.625,8.875,4.875,157.625,0.0,3.125
0.0625,0.0,0.0,3.5625,8.875,4.9375,157.3125,0.0,3.625
0.0,0.0,0.0,3.6,8.8,4.8,157.13333333333333,0.0,3.533333333333333
0.0625,0.0,0.0,3.5625,8.625,4.875,156.625,0.0,3.6875
0.0,0.0,0.5,3.3125,8.125,4.0625,25.125,0.75,3.5625
0.125,0.0,0.625,3.4375,8.0,4.125,6.0625,0.8125,3.4375
0.1875,0.0,0.5625,3.25,8.0,4.1875,6.4375,0.75,3.6875
0.0625,0.0,0.8125,3.3125,8.0,4.0,6.375,0.875,3.4375
0.0625,0.0,0.5,3.1875,8.0,4.0,6.375,0.8125,3.1875
0.0,0.0,0.5,3.4375,8.0,4.125,6.25,0.9375,3.125
0.0625,0.0,0.5,3.1875,8.0,4.1875,6.125,0.6875,3.5625
0.0,0.0,0.4,3.4,8.0,4.066666666666666,6.6,0.9333333333333333,3.1333333333333333
